avg_quiz_score,quizzes_taken,phishing_clicked,phishing_reported,incidents_reported,risk_label
17,10,2,5,2,0
97,8,5,3,0,1
78,9,3,3,0,1
97,9,0,1,0,0
34,13,1,5,2,0
89,16,5,5,2,1
72,3,1,0,3,0
94,14,2,2,1,0
89,15,0,4,2,0
26,3,5,3,1,2
54,20,3,3,2,1
57,20,3,3,3,0
36,12,2,5,0,0
17,13,5,3,3,2
65,4,1,1,0,0
76,6,4,1,1,1
50,20,0,3,0,0
77,20,5,4,0,1
60,7,5,2,2,2
18,3,1,0,0,2
92,10,0,3,1,0
9,5,0,0,2,1
79,13,3,3,1,0
53,4,4,1,2,2
96,0,4,2,1,1
20,2,0,2,0,1
54,19,3,3,0,0
97,20,5,2,0,2
80,1,2,2,3,0
6,9,1,2,3,1
18,16,4,1,0,2
70,16,3,4,3,1
72,3,2,5,0,0
17,9,0,2,3,0
26,18,4,3,3,1
64,20,0,4,0,0
95,6,3,5,1,0
45,17,2,0,0,2
94,1,3,1,3,0
37,8,2,0,1,2
81,4,5,3,1,1
3,6,3,0,3,2
21,15,3,4,1,1
54,3,0,0,2,0
4,11,1,1,1,1
11,6,1,1,1,2
16,3,5,0,2,2
33,5,1,5,0,0
43,14,5,5,1,2
100,17,2,2,1,0
75,15,0,4,3,0
65,3,1,0,3,0
73,8,2,4,2,0
20,5,3,2,2,1
39,15,5,2,2,2
55,11,0,4,3,0
98,16,0,1,0,0
76,19,1,3,3,0
54,2,2,3,1,1
11,4,3,4,0,2
12,9,0,0,3,1
79,12,2,2,3,0
70,20,1,1,3,0
33,2,2,4,2,1
62,19,0,1,1,0
79,11,0,4,2,0
69,5,1,5,3,0
88,14,3,0,0,2
32,17,4,1,1,2
36,18,1,1,2,1
96,15,5,5,2,0
97,1,5,4,0,1
91,20,4,3,3,0
60,12,2,1,3,1
58,5,4,3,1,1
52,14,1,2,0,0
2,19,2,0,1,2
57,10,2,0,0,1
65,3,2,1,2,0
64,2,2,3,2,1
83,2,2,1,1,1
63,9,4,0,1,2
30,9,1,3,3,0
84,16,5,0,2,1
60,20,4,1,1,2
25,7,4,5,2,1
36,2,3,4,3,1
79,10,4,1,1,2
61,5,5,0,2,2
71,7,0,4,2,0
92,15,0,5,1,0
9,15,3,3,0,2
79,5,3,5,2,0
13,20,0,0,0,1
48,10,3,3,3,1
86,4,1,1,3,0
65,8,4,2,0,1
86,9,1,3,0,0
65,17,1,3,1,0
36,19,3,0,0,2
93,8,2,5,2,0
74,11,4,1,0,2
34,3,2,0,2,1
53,14,0,1,2,0
67,10,4,2,0,2
9,10,1,1,2,1
75,6,0,1,0,0
100,15,1,0,2,0
27,12,0,3,3,0
34,15,5,5,3,2
50,10,4,3,0,2
52,3,3,3,3,0
79,8,1,5,1,0
20,3,3,4,1,1
59,18,0,5,0,0
100,1,3,5,1,0
83,1,2,0,2,1
100,17,3,3,0,0
98,4,0,1,1,0
31,9,2,0,0,2
32,3,3,1,0,2
61,17,5,0,2,2
78,3,1,1,0,0
48,11,2,5,2,0
63,5,4,1,1,1
57,19,1,0,0,1
77,0,3,3,0,1
7,11,1,3,0,1
75,2,1,0,0,1
29,8,1,1,1,1
50,12,3,2,2,0
86,8,1,4,1,0
81,12,5,4,1,1
43,9,2,0,1,1
69,2,4,2,1,2
56,20,5,2,3,2
99,1,2,1,1,1
17,20,3,3,1,1
93,17,2,4,3,0
29,7,1,0,2,1
78,7,2,2,3,0
95,18,1,1,0,0
82,4,2,0,2,0
15,6,1,3,3,1
68,16,1,4,1,0
78,12,3,0,2,1
29,15,4,0,1,2
47,0,0,5,1,0
26,8,3,1,0,2
61,5,5,5,1,1
98,13,5,2,2,1
47,6,1,0,0,1
54,8,3,1,0,2
12,1,2,1,1,2
58,5,0,2,2,0
81,6,0,3,3,0
93,3,4,0,2,2
91,17,3,4,0,0
47,2,5,3,2,2
57,13,4,2,3,1
41,8,2,1,0,1
63,18,1,1,1,0
28,2,1,5,3,0
24,15,0,4,2,0
37,20,0,0,0,1
26,9,2,5,2,0
44,16,2,1,3,1
2,11,3,1,3,2
68,8,4,2,0,2
98,16,1,0,2,0
100,20,1,4,3,0
44,20,4,3,2,2
24,1,0,1,1,1
40,2,0,0,2,1
47,18,2,3,1,1
4,1,5,4,0,2
52,19,4,5,0,1
71,17,3,3,3,0
38,13,5,3,0,2
86,17,4,3,2,1
62,4,5,0,1,2
23,17,0,1,2,0
54,15,2,1,1,1
28,20,5,0,0,2
13,19,5,2,0,2
55,12,1,5,1,0
72,0,4,5,0,1
18,5,2,4,1,1
73,20,2,2,3,0
89,16,2,1,3,0
20,17,2,3,3,1
16,8,5,2,3,2
52,5,2,3,1,1
96,0,4,5,0,0
53,6,5,1,2,2
87,9,0,5,3,0
23,12,5,2,0,2
58,19,1,5,1,0
98,7,3,5,1,0
85,18,5,4,3,1
99,18,3,2,0,1
36,14,4,1,2,2
49,5,2,1,2,1
74,1,2,4,2,0
49,13,5,1,2,2
8,2,2,3,3,2
55,10,0,4,1,0
42,14,2,5,0,0
49,12,4,3,3,1
77,7,0,0,2,0
17,0,2,0,3,2
80,10,1,5,1,0
14,16,5,3,1,2
43,16,5,5,2,1
87,4,5,1,3,1
46,14,2,5,1,0
34,19,4,1,3,2
81,13,1,3,3,0
52,7,3,2,3,1
4,0,0,1,1,2
25,4,1,3,2,1
61,6,3,5,0,0
6,5,3,4,2,2
94,14,1,1,3,0
66,6,4,5,1,0
18,8,2,1,0,2
77,11,0,2,2,0
78,15,2,1,2,0
27,20,2,5,0,0
9,18,5,5,2,2
47,1,3,5,1,0
39,11,4,2,1,2
92,0,1,1,3,0
54,7,4,5,3,1
18,0,2,3,0,2
39,4,0,5,3,0
86,2,1,4,1,0
83,17,0,2,3,0
97,13,5,2,3,1
7,6,2,2,0,2
36,7,1,3,2,0
16,0,5,3,1,2
59,16,4,4,0,1
57,20,4,1,1,2
64,19,0,5,3,0
9,8,0,0,2,1
48,16,0,2,1,0
35,6,4,1,1,2
55,3,4,5,3,0
34,12,3,5,2,1
6,10,0,1,0,1
63,6,3,2,2,1
89,7,0,0,1,0
76,3,0,3,0,0
27,14,0,3,1,0
11,4,0,5,2,0
30,4,1,2,1,1
4,12,3,2,0,2
70,5,2,5,0,0
38,4,1,5,1,0
32,13,0,1,3,0
26,15,3,1,0,2
92,17,3,0,3,1
18,7,5,5,0,2
30,11,3,3,2,1
16,14,0,1,3,1
17,14,5,1,3,2
42,19,2,1,1,1
68,17,0,5,1,0
85,10,1,0,3,0
19,4,0,1,2,0
92,15,5,5,1,0
49,1,2,5,3,0
32,11,1,1,2,2
88,2,2,5,3,0
33,16,3,3,1,1
58,16,3,1,2,1
69,8,5,1,3,1
53,11,4,2,2,2
81,20,2,2,2,0
17,19,2,0,0,2
11,12,1,5,2,0
24,6,1,0,0,1
93,6,0,1,3,0
56,12,2,1,0,1
38,15,0,3,1,0
61,12,1,0,2,1
33,6,3,2,0,2
76,4,0,4,3,0
18,6,5,4,0,2
87,5,4,1,2,1
82,5,2,4,2,0
57,5,0,0,0,0
60,6,0,0,0,1
17,9,3,2,0,2
64,12,4,3,0,1
54,13,4,3,0,2
25,20,0,5,0,0
4,3,3,5,3,0
20,12,5,4,2,2
83,0,5,3,0,1
20,13,5,3,0,2
88,18,0,1,2,0
85,9,1,5,1,0
4,12,2,0,3,2
77,2,2,0,1,2
11,11,4,2,0,2
39,16,4,0,2,2
97,9,1,2,3,0
69,3,3,2,2,1
36,5,0,5,1,0
21,8,0,4,2,0
47,5,4,5,1,1
98,9,0,3,1,0
10,11,1,1,2,1
70,10,3,3,2,0
57,8,4,0,1,2
59,1,5,2,2,2
62,10,4,3,3,1
9,5,0,1,1,1
83,1,2,1,2,1
37,9,4,2,0,2
1,20,3,4,2,2
20,3,3,5,3,1
68,10,3,4,3,0
23,12,5,1,1,2
74,18,2,2,0,1
36,16,1,5,2,0
2,19,1,2,1,1
13,11,1,5,3,0
0,9,1,0,1,2
70,19,2,0,1,1
72,19,4,2,3,1
39,12,3,0,0,2
42,6,0,5,2,0
47,14,4,0,2,2
89,7,4,4,0,0
65,14,3,3,1,1
3,4,3,4,0,2
76,17,4,2,3,1
9,0,1,4,0,1
59,14,2,0,0,2
40,6,3,0,2,1
5,1,0,3,0,1
69,4,1,0,1,0
92,13,3,3,0,0
47,20,3,3,1,1
79,11,2,5,1,0
0,6,4,0,2,2
3,19,1,0,1,2
97,6,4,1,1,1
83,0,4,0,0,2
94,15,4,2,0,1
97,12,5,2,3,1
63,16,0,1,3,0
20,12,2,1,0,2
1,4,0,3,3,0
53,2,0,5,2,0
1,1,1,3,0,2
71,15,1,4,2,0
45,4,1,2,2,0
37,10,4,2,3,2
49,9,1,1,1,1
72,13,2,1,2,1
77,3,1,0,2,0
50,16,5,4,2,1
55,18,1,1,0,1
99,14,4,0,1,1
76,2,0,4,2,0
84,1,2,0,3,1
39,4,0,0,0,1
73,3,2,5,1,0
40,2,4,1,3,2
13,1,0,5,2,0
62,18,3,2,2,0
85,16,3,0,1,1
20,11,4,2,3,2
34,20,5,2,3,2
39,5,5,3,3,2
90,20,3,3,3,0
72,3,3,0,0,2
47,5,1,4,2,0
82,16,4,4,1,0
27,20,1,1,1,1
96,13,4,3,2,0
95,0,0,5,1,0
15,1,0,2,3,0
2,11,3,5,3,0
61,10,0,2,1,0
32,11,1,3,1,1
44,14,3,1,1,2
63,5,5,0,1,2
61,19,5,0,2,2
65,19,0,0,1,0
4,7,5,4,3,1
60,14,0,5,2,0
66,9,0,0,2,0
56,10,0,4,2,0
14,2,4,3,1,2
19,4,2,0,1,2
22,20,0,4,3,0
26,18,3,0,1,2
50,8,4,4,2,1
42,11,5,3,0,2
74,11,5,1,1,2
100,19,0,3,0,0
49,2,3,0,1,2
0,16,0,2,3,0
18,8,5,5,1,2
15,0,1,5,1,0
43,15,5,4,3,2
54,14,2,1,1,1
71,3,5,4,1,1
92,0,3,0,0,2
63,19,4,3,1,1
18,12,2,2,1,1
59,8,3,3,0,1
16,11,1,4,1,1
69,7,3,4,1,1
43,9,5,3,2,2
38,4,2,1,2,1
78,20,3,4,3,0
91,12,4,3,1,0
23,18,1,1,1,1
81,6,1,1,3,0
69,6,5,1,2,2
70,8,4,1,2,2
34,0,4,3,1,2
95,5,5,4,0,1
96,19,2,0,3,0
14,5,3,0,0,2
83,1,5,1,1,2
72,20,2,5,1,0
91,12,2,3,2,0
82,12,3,5,3,0
81,11,3,1,0,1
60,3,1,0,2,0
66,14,1,0,0,2
98,17,5,0,0,2
2,3,0,4,2,0
82,14,1,1,1,0
77,16,0,2,1,0
82,19,1,1,0,0
22,15,4,5,1,1
68,16,3,2,2,1
78,13,4,2,3,1
23,8,1,3,0,1
45,17,2,0,0,2
58,2,5,5,1,2
88,14,1,5,3,0
23,4,5,5,2,2
38,14,1,0,3,1
49,13,5,2,1,2
58,16,3,1,3,1
69,12,5,5,0,1
46,17,3,5,3,0
35,1,1,1,1,1
80,20,3,4,0,0
40,16,0,0,3,1
68,5,0,0,0,1
2,16,2,3,2,2
28,17,1,0,3,1
60,16,0,3,3,0
19,17,2,2,0,1
36,13,1,0,3,1
10,19,5,4,3,2
64,8,5,3,0,2
88,14,5,2,2,2
30,11,5,0,2,2
98,20,4,5,0,0
30,10,3,3,1,1
53,16,4,2,1,2
42,15,2,2,0,1
45,16,2,3,3,0
99,18,1,0,0,0
25,0,3,3,2,2
37,20,4,0,0,2
74,15,2,1,1,0
41,12,0,0,2,1
87,2,5,3,0,2
53,7,5,1,0,2
86,1,1,1,2,0
10,0,5,4,3,2
46,13,3,4,2,0
89,5,2,0,0,1
49,16,3,5,1,1
58,3,2,1,3,1
54,16,1,3,2,0
82,20,3,1,2,0
51,2,4,0,3,2
78,4,3,1,3,0
52,19,2,4,3,0
73,14,1,1,0,0
34,20,1,2,3,0
82,0,3,4,0,1
89,3,0,5,1,0
2,20,0,3,0,1
100,10,4,1,0,2
10,8,4,3,2,2
64,19,4,5,2,0
43,15,0,4,1,0
11,18,5,0,0,2
45,0,4,3,1,2
87,9,0,4,2,0
95,12,0,1,0,0
68,2,4,3,2,1
60,17,4,0,0,2
91,7,3,3,1,0
0,3,5,1,0,2
32,7,3,4,0,2
41,11,0,1,0,1
2,18,1,0,1,2
77,2,1,0,1,1
23,8,4,1,2,2
88,14,5,2,0,1
31,20,3,1,0,2
1,18,5,3,1,2
92,5,0,3,0,0
2,18,1,1,3,1
99,7,0,4,0,0
3,13,2,4,3,1
70,0,4,3,2,1
13,0,1,5,3,0
90,10,2,3,0,0
8,8,0,2,0,1
43,12,1,4,2,0
40,4,2,1,0,2
81,0,2,5,0,0
68,7,2,1,1,1
94,0,1,4,0,0
37,8,5,2,0,2
62,15,0,5,1,0
15,11,0,4,3,0
90,12,4,3,0,1
85,17,3,0,0,2
81,17,4,2,3,1
45,2,4,5,2,1
22,6,5,1,0,2
9,12,0,1,2,0
100,16,5,3,0,1
49,20,2,5,2,0
76,7,2,0,0,1
94,8,2,5,2,0
86,4,4,0,1,1
79,20,1,1,3,0
36,14,4,4,3,1
42,17,3,1,1,2
30,0,4,4,0,2
66,6,3,2,2,1
66,6,1,2,2,0
64,9,3,0,2,1
18,2,3,2,2,2
89,15,3,0,3,0
76,0,4,4,1,1
67,6,3,2,2,1
53,3,5,2,2,2
53,9,4,2,1,2
89,1,4,4,0,1
0,7,5,4,1,2
39,5,2,0,2,2
85,3,2,0,1,1
1,15,5,4,0,2
71,13,3,4,3,0
89,18,1,0,1,0
65,9,0,3,0,0
75,8,3,0,2,1
60,13,5,0,0,2
17,5,1,3,3,0
42,6,0,1,3,0
21,18,0,4,2,0
21,0,4,4,1,1
34,9,2,4,2,0
9,1,5,3,0,2
43,14,5,2,1,2
59,0,3,1,2,2
90,19,0,2,3,0
15,4,0,1,0,1
46,11,4,4,2,1
43,2,1,0,2,1
59,17,0,0,3,0
1,0,4,2,2,2
62,17,0,1,2,0
98,11,2,2,0,1
43,3,0,3,1,0
2,4,5,5,3,2
16,13,0,5,2,0
1,14,4,2,1,2
15,17,4,3,0,2
14,7,2,2,0,1
65,9,4,0,2,1
31,11,1,1,1,1
67,8,1,2,2,1
51,3,0,3,1,0
37,10,1,0,3,1
17,14,4,5,3,1
26,2,3,4,1,2
8,11,4,3,2,2
96,18,2,4,2,0
86,14,2,5,2,0
66,14,0,0,0,1
86,12,2,4,3,0
96,6,3,5,3,0
66,0,1,2,0,0
39,0,3,5,3,1
78,5,0,2,2,0
76,5,1,5,0,0
55,11,4,5,3,0
73,18,4,1,3,2
79,1,3,5,2,0
61,6,3,4,3,0
92,11,4,4,1,0
29,18,1,4,2,0
2,10,4,0,0,2
72,20,0,1,0,0
92,2,2,2,3,0
31,19,1,4,2,0
7,8,5,5,0,2
75,10,1,1,0,0
50,3,0,1,3,0
24,17,1,2,0,1
19,12,1,2,1,1
77,3,0,4,3,0
71,1,5,5,1,1
20,9,1,2,3,0
51,18,5,1,0,2
83,7,5,2,3,1
92,20,5,2,1,2
87,14,5,1,2,2
61,4,2,0,3,1
75,18,0,0,3,0
91,0,2,5,3,0
67,4,0,5,3,0
20,4,0,1,2,0
6,16,0,3,1,0
32,1,4,0,1,2
57,1,3,1,2,2
35,8,3,2,0,2
94,5,1,3,1,0
92,5,1,2,3,0
92,2,3,1,0,1
51,10,1,1,3,0
13,7,2,3,3,0
99,1,1,4,1,0
13,15,5,2,1,2
18,1,0,3,2,1
15,15,1,4,0,1
24,12,2,1,0,2
60,3,2,1,0,2
61,4,3,5,0,1
58,3,4,0,0,2
60,18,1,5,1,0
4,5,2,2,2,1
49,3,2,2,3,0
98,9,1,3,1,0
52,18,1,0,2,1
40,16,5,5,2,1
92,0,3,3,1,1
25,7,2,3,0,1
50,10,4,0,2,2
54,10,2,4,0,0
60,9,3,5,0,0
49,4,1,5,1,0
87,12,4,2,3,0
5,2,0,1,0,2
80,0,0,1,2,0
9,19,4,4,3,1
25,15,2,1,2,2
11,20,1,4,1,0
34,14,0,1,2,0
24,9,2,2,2,1
78,20,0,4,0,0
95,20,2,5,0,0
61,14,4,2,0,2
36,4,2,2,3,1
93,17,1,3,3,0
32,15,0,0,3,1
47,11,2,1,2,1
75,19,4,0,2,1
92,8,3,1,2,1
55,16,0,4,0,0
6,15,2,5,1,1
10,11,4,1,1,2
73,19,1,3,3,0
87,4,4,4,3,0
39,1,1,0,0,2
8,14,4,3,0,2
18,15,2,2,2,1
41,17,1,4,1,0
86,2,0,2,1,0
62,19,0,5,3,0
93,20,2,4,3,0
23,11,4,3,3,2
69,4,5,4,0,1
41,17,4,3,3,1
84,10,3,4,2,0
79,20,0,5,3,0
72,9,0,3,3,0
69,18,2,0,0,2
63,15,3,5,0,0
84,3,1,3,1,0
92,19,5,0,2,2
81,2,1,5,1,0
98,6,2,1,0,0
44,18,3,0,1,2
91,12,0,3,2,0
6,12,5,2,2,2
35,5,2,4,3,0
47,4,4,5,1,1
13,6,4,3,1,2
6,4,4,1,2,2
67,18,3,2,2,1
90,19,3,2,3,0
83,13,3,1,2,1
69,3,2,2,0,0
2,3,2,3,2,1
78,20,4,0,3,1
96,13,5,5,0,0
79,17,0,2,2,0
87,0,4,4,2,1
39,16,5,5,2,2
5,0,3,1,3,2
11,19,4,2,0,2
46,12,4,3,0,2
23,14,3,4,2,1
100,8,5,1,3,1
35,19,4,0,3,2
87,20,0,0,0,0
2,11,2,5,3,1
80,20,2,1,2,0
55,6,1,4,3,0
68,12,2,3,1,0
84,4,5,1,1,2
3,20,4,0,2,2
14,20,2,0,2,2
46,13,3,4,3,1
33,11,0,3,0,0
79,19,5,3,0,2
43,15,4,4,2,1
13,9,3,1,2,2
67,8,4,3,2,1
41,3,4,4,2,1
91,15,0,5,1,0
66,17,4,5,2,0
81,11,4,0,3,1
2,8,3,0,0,2
62,1,0,0,0,0
27,2,5,3,3,2
30,12,2,4,2,0
25,20,1,5,1,0
71,11,0,5,2,0
73,19,0,4,0,0
0,1,1,2,1,2
25,14,5,4,0,2
0,10,3,0,2,2
59,6,2,5,2,0
21,0,5,4,1,2
82,9,2,2,2,0
89,12,4,3,0,1
36,15,0,3,1,1
11,20,2,3,2,1
97,1,0,4,3,0
63,19,1,1,0,1
18,20,3,2,3,2
77,9,2,5,0,0
45,18,3,1,1,1
46,3,1,2,2,0
18,16,3,2,0,2
86,19,4,4,2,0
53,17,3,2,3,0
21,4,1,0,3,1
9,5,0,0,1,1
36,12,2,5,1,0
59,1,1,4,2,0
18,7,0,3,0,1
35,16,4,1,2,2
96,11,3,3,2,0
23,10,4,2,3,2
73,7,3,0,2,0
42,7,4,4,2,1
91,2,5,5,2,1
63,19,3,2,0,1
66,14,2,1,3,0
77,9,2,3,1,0
62,15,5,4,1,2
25,10,5,4,0,2
36,12,4,5,0,1
58,11,5,4,3,1
89,4,0,5,3,0
93,19,3,1,0,1
28,18,4,1,2,2
57,4,0,5,1,0
95,19,3,1,3,0
92,18,3,5,3,0
49,13,3,5,1,0
79,6,2,5,1,0
43,0,0,3,3,0
31,15,2,4,3,1
85,5,5,5,1,0
60,5,0,4,3,0
50,11,2,5,1,0
63,12,4,5,0,1
48,8,3,4,1,1
65,3,1,4,2,0
41,17,5,0,3,2
8,11,5,5,3,2
36,18,3,5,0,0
25,7,5,5,3,1
45,10,5,4,2,1
28,17,2,4,3,0
46,17,4,2,1,1
12,13,0,4,1,0
88,0,0,5,2,0
5,11,0,3,3,0
63,3,5,1,2,2
8,8,5,0,2,2
20,11,0,1,0,1
77,7,3,0,1,1
25,17,1,5,1,1
95,11,0,4,2,0
43,15,0,2,0,0
42,16,1,5,1,0
88,10,3,4,3,0
37,17,5,3,3,2
7,7,0,1,3,0
98,13,5,4,2,0
50,4,4,3,1,1
92,1,5,4,0,2
67,1,1,5,0,0
14,8,2,1,0,2
24,16,4,0,2,2
86,16,3,4,2,0
64,19,0,0,3,0
6,7,3,4,2,1
72,15,1,2,2,0
49,20,0,2,0,0
28,18,4,3,2,1
52,20,4,0,3,2
12,19,1,4,1,1
78,1,5,0,3,2
19,8,2,4,2,1
0,12,5,2,1,2
